field,frozen_value,assessment,reason
scenarios.planner_max_actions_per_main,12,FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.depth_sensitivity.0,7,FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.depth_sensitivity.1,8,FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
scenarios.depth_sensitivity.2,9,FAIL,50/50 values specified but invalid weights/depth accepted; no config consumer for independent policy axes.
policies.drift_behavior,"""FAIL_FAST""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.sequencing_baseline.id,"""baseline_hand_demand""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.sequencing_baseline.content_hash,"""aad7cc3f1bc01a9ea312f1d6a4f629858dc2ac7c30e369289015efe67b6abeeb""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.sequencing_alternate.id,"""alternate_tempo_untapped""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.sequencing_alternate.content_hash,"""4b5af0dd4635e385937947405e31659a9fdad3dd85bc5cf6c384ca2ccfff4141""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.mulligan_baseline.id,"""baseline_functional_london""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.mulligan_baseline.content_hash,"""f8ff67ad75b9f201220c9a13b6ca1be78719c192ee7777af97dac98dfa345753""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.mulligan_alternate.id,"""alternate_landcount_london""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.mulligan_alternate.content_hash,"""37e5c0e7d7272540d63aeea88fafa89a200e970a08c6a1c08fc477781785f1f0""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.scry_baseline.id,"""boulder_scry_baseline""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.scry_baseline.content_hash,"""b2404ef7ffb3714d10765be0ce6f906815af685019cf010a8a5233b2e9346725""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.scry_alternate.id,"""boulder_scry_alternate""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.scry_alternate.content_hash,"""8a8be07ebc0b4a95b2e985790b4fb6be5c3b6bd0c6fe95be52c29cebf3116d0b""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.reserve_baseline.id,"""reserve_one_reply""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.reserve_baseline.content_hash,"""b3c3f3c88de5f0cb9f7c1ef98b572dcb3e3d1d2ea10444974933605298cff936""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.reserve_alternate.id,"""tap_out_development""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.reserve_alternate.content_hash,"""29a606801f7746c215f64a9d758047bd0b8b9d5f24750cce0551431e54de33d2""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.information_baseline.id,"""baseline_information_value""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.information_baseline.content_hash,"""5a4ce37fcee67df55ed42f9595aca651bd5f17318f88d39ed44edf3299761058""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.information_alternate.id,"""conservative_information_value""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
policies.identities.information_alternate.content_hash,"""e8c7530a13d114aeb90fa835d36df7cb968224d38e11c4daaf0161b5f4c8e3c3""",PARTIAL,Ten IDs and contract hashes present; typed role and execution/row binding missing.
metrics.raw_events_first,true,FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.primary.0,"""spell_level_on_time_castability""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.primary.1,"""usable_untapped_mana_by_turn""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.primary.2,"""joint_UB_access_by_turn""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.primary.3,"""opponent_turn_interaction_availability""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.primary.4,"""full_effect_metalcraft_interaction_availability""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.primary.5,"""double_spell_success""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.primary.6,"""spell_plus_held_interaction_success""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.primary.7,"""critical_sequence_success""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.0,"""opening_land_distribution""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.1,"""mulligan_count_and_kept_hand_size""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.2,"""W_U_B_R_access_by_turn""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.3,"""artifact_count_by_window""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.4,"""metalcraft_rate_by_window""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.5,"""affinity_reduction_by_spell_and_turn""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.6,"""boulder_deploy_activation_rescue_dependency""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.7,"""cryogen_enter_leave_draw_events""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.8,"""glint_hawk_functional_execution_and_return_cost""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.9,"""bargain_functional_execution_and_sacrifice_resource_loss""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.10,"""stranded_spell_reason""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.11,"""realized_etb_tapped_block""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.12,"""unused_mana""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.13,"""unavailable_tapped_mana""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.14,"""nihil_optional_black_draw_option""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.15,"""scry_decision_outcome""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.16,"""land_return_events""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.secondary.17,"""land_sacrifice_events""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.target_dependent_counterfactual_only.0,"""blood_token_activation_option""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.target_dependent_counterfactual_only.1,"""munitions_activation_option""",FAIL,Lists present; full callable aggregation/output coverage absent.
metrics.target_dependent_counterfactual_only.2,"""cryogen_stun_activation_option""",FAIL,Lists present; full callable aggregation/output coverage absent.
decision_profiles.balanced.comparison,"""lexicographic metric vector; no scalar master score""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.tie_behavior,"""practically tied if every component is within its materiality tolerance; retain both when uncertainty overlaps""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.overlap_rationale,"""Castability, retained interaction, and double-spelling are distinct execution outcomes; raw color, ETB, and artifact diagnostics are excluded to avoid nested penalties.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.leave_one_out,"""evaluate one preregistered variant per omitted component""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.decorrelated_variant.metrics.0,"""spell_level_on_time_castability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.decorrelated_variant.metrics.1,"""opponent_turn_interaction_availability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.decorrelated_variant.rationale,"""Removes multi-action overlap while preserving proactive and reactive function.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.metric,"""spell_level_on_time_castability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.aggregation,"""desired-window-weighted mean across spells and turns 1-4""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.turns.0,1,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.turns.1,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.turns.2,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.turns.3,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.0.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.metric,"""opponent_turn_interaction_availability""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.aggregation,"""mean over held interaction opportunities at turns 2-4""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.turns.0,2,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.turns.1,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.turns.2,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.1.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.metric,"""double_spell_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.direction,"""higher""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.aggregation,"""mean of functional double-spell success at turns 3-4""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.turns.0,3,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.turns.1,4,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.scenarios.0,"""weighted_primary""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.normalization,"""none""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.no_worse_tolerance,0.0025,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.materiality_tolerance,0.005,FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.missing_data,"""error""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.balanced.metric_vector.2.uncertainty,"""paired confidence interval""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.comparison,"""lexicographic metric vector; no scalar master score""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.tie_behavior,"""practically tied within component materiality tolerances; uncertainty retains both""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.overlap_rationale,"""Usable mana is primary; ETB blockage is secondary and removed in the de-correlated variant; double-spell is a realized endpoint.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.leave_one_out,"""evaluate one preregistered variant per omitted component""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.decorrelated_variant.metrics.0,"""usable_untapped_mana_by_turn""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.decorrelated_variant.metrics.1,"""double_spell_success""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.decorrelated_variant.rationale,"""Drops the ETB diagnostic nested in usable mana.""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
decision_profiles.tempo_sensitive.metric_vector.0.metric,"""usable_untapped_mana_by_turn""",FAIL,"Every component reviewed: direction/raw normalization/tolerances specified, but populations/weights/uncertainty not executed; unknown metrics and negative tolerances accepted."
