gate_id,category,requirement,evidence,status,severity,blocking,notes
MC-03,Multiple comparisons,Close finalists get adaptive precision,"No rule",FAIL,BLOCKER,true,F-01
MC-04,Multiple comparisons,Paired uncertainty for finalist differences,"Primitive exists; no orchestration",PARTIAL,BLOCKER,true,F-01
PREC-01,Precision,Screening trial count frozen,"0",FAIL,BLOCKER,true,F-01
PREC-02,Precision,Medium trial count frozen,"0",FAIL,BLOCKER,true,F-01
PREC-03,Precision,Validation trial/adaptive rule frozen,"0 and absent",FAIL,BLOCKER,true,F-01
PREC-04,Precision,Stopping rules predeclared,"Absent",FAIL,BLOCKER,true,F-01
PAR-01,Pareto,Metric direction respected,"Higher-only helper",FAIL,BLOCKER,true,F-04
PAR-02,Pareto,Missing values handled,"No handling",FAIL,BLOCKER,true,F-04
PAR-03,Pareto,Tolerance/materiality handled,"No handling",FAIL,BLOCKER,true,F-04
PAR-04,Pareto,Uncertainty handled,"No handling",FAIL,BLOCKER,true,F-04
REGRET-01,Regret,Profile gaps reported,"Simple helper only",PARTIAL,BLOCKER,true,F-04
REGRET-02,Regret,Paired uncertainty attached,"Absent",FAIL,BLOCKER,true,F-04
FRONT-01,Frontier,Smallest defensible frontier supported,"No frontier pipeline; output disabled",FAIL,BLOCKER,true,F-01/F-04
FRONT-02,Frontier,All three eventual decision labels supported,"Documentation only",PARTIAL,BLOCKER,true,F-01/F-04
MODEL-01,Model risk,No arbitrary tapland scalar,"Actual ETB/resource events",PASS,NOTE,false,
MODEL-02,Model risk,Overlap cannot silently define winner,"Warnings only; profiles absent",PARTIAL,BLOCKER,true,F-02
MODEL-03,Model risk,No free fixing,"Boulder net-zero and tested",PASS,NOTE,false,
MODEL-04,Model risk,No match-win inference,"Explicitly prohibited",PASS,NOTE,false,
UNSUP-01,Unsupported mechanics,Blood activation contained,"Validation only; no sensitivity",FAIL,BLOCKER,true,F-06
UNSUP-02,Unsupported mechanics,Munitions activation contained,"Validation only; no sensitivity",FAIL,BLOCKER,true,F-06
UNSUP-03,Unsupported mechanics,Cryogen stun contained,"Validation only; no sensitivity",FAIL,BLOCKER,true,F-06
UNSUP-04,Unsupported mechanics,Blood recursion contained,"Absent",FAIL,BLOCKER,true,F-06
UNSUP-05,Unsupported mechanics,Opponent removal/indestructibility contained,"Goldfish only; no sensitivity",FAIL,BLOCKER,true,F-06
UNSUP-06,Unsupported mechanics,Familiar opponent-dependent draw contained,"Disabled; no sensitivity",PARTIAL,MAJOR,true,F-06
REPRO-01,Reproducibility,Same config/seed protected workload repeats,"Label-renamed 362-event trace identical",PASS,NOTE,false,
REPRO-02,Reproducibility,Exact code version recoverable,"ZIP hash exact but Git commit unavailable",PARTIAL,MAJOR,true,F-08
REPRO-03,Reproducibility,Exact Phase 3 command exists,"Absent",FAIL,BLOCKER,true,F-01
REPRO-04,Reproducibility,Phase 3 output paths/schemas defined,"Absent",FAIL,BLOCKER,true,F-01/F-03
FREEZE-01,Config freeze,Production scenarios and weights frozen,"Conflicting all-play/all-draw/mixed versus smoke mixed and deck 50/50",FAIL,BLOCKER,true,F-01
FREEZE-02,Config freeze,Planner bounds frozen,"Hard-coded not config",PARTIAL,MAJOR,true,F-07
FREEZE-03,Config freeze,Practical-significance rule frozen,"Absent",FAIL,BLOCKER,true,F-01/F-02
FREEZE-04,Config freeze,Robustness matrix frozen,"Names only and output false",FAIL,BLOCKER,true,F-01/F-06
DRY-01,Dry run,Synthetic candidates traverse complete Phase 3 pipeline,"No pipeline",FAIL,BLOCKER,true,F-01
DRY-02,Dry run,Fresh validation switch verified,"No pipeline",FAIL,BLOCKER,true,F-01
DRY-03,Dry run,Pareto/frontier report generated,"No pipeline and unsafe helper",FAIL,BLOCKER,true,F-04
STOP-01,Scope,No real candidate performance screen run,"Audit-only deterministic/protected work",PASS,NOTE,false,
STOP-02,Scope,No candidate ranked/eliminated/recommended,"No performance interpretation",PASS,NOTE,false,
